"PreSens Measurement Studio 2","4.0.0.2293",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"09/02/2024","05:49:07","4","Pippa","159762007","POF4","0.000","min","278.741","μmol/L","Humid","25.886","deg","19987","µV","20.000","°C","1013.000","hPa","34.5","pmil","128","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","27178.08","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","05:49:17","4","Pippa","159762007","POF4","0.170","min","226.865","μmol/L","Humid","28.045","deg","26478","µV","20.000","°C","1013.000","hPa","34.5","pmil","128","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","33432.09","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","05:49:27","4","Pippa","159762007","POF4","0.337","min","244.405","μmol/L","Humid","27.252","deg","26884","µV","20.000","°C","1013.000","hPa","34.5","pmil","128","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","33775.99","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","05:49:37","4","Pippa","159762007","POF4","0.503","min","241.487","μmol/L","Humid","27.379","deg","27029","µV","20.000","°C","1013.000","hPa","34.5","pmil","128","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","33434.91","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:05:10","4","Pippa","159762007","POF4","16.054","min","285.776","μmol/L","Humid","25.632","deg","29438","µV","20.000","°C","1013.000","hPa","34.5","pmil","0","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39370.50","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:05:20","4","Pippa","159762007","POF4","16.219","min","285.551","μmol/L","Humid","25.640","deg","29410","µV","20.000","°C","1013.000","hPa","34.5","pmil","0","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39354.60","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:05:30","4","Pippa","159762007","POF4","16.387","min","286.537","μmol/L","Humid","25.605","deg","29380","µV","20.000","°C","1013.000","hPa","34.5","pmil","0","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39378.62","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:05:40","4","Pippa","159762007","POF4","16.553","min","286.086","μmol/L","Humid","25.621","deg","29348","µV","20.000","°C","1013.000","hPa","34.5","pmil","0","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39362.52","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:05:50","4","Pippa","159762007","POF4","16.720","min","286.933","μmol/L","Humid","25.591","deg","29305","µV","20.000","°C","1013.000","hPa","34.5","pmil","0","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39371.24","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
"09/02/2024","06:06:00","4","Pippa","159762007","POF4","16.886","min","284.682","μmol/L","Humid","25.671","deg","29344","µV","20.000","°C","1013.000","hPa","34.5","pmil","128","58.594","deg","20.000","°C","100.000","%a.s.","27.838","deg","20.000","°C","1013.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1322.21","5","47.00","39555.66","SABH0002000044","AAV2.0.0.13","4.0.0.2293","PSt3","000000-000","9/2/2024 5:17:11 AM","0000-00","0","no battery","V","102839","µV","46079","µV"
